destination	sha256	lines	embedded_full_shas	path
iyon-tui	79a4b5fd736ffe752bfcc998a2145bb4310b9663b125a4d38412a94496472615	2569		PERF-10-native-shared-memory-handoff.md
iyon-tui	6e1ec06865fbeaddf2fba57b48c34615eaddd36806a390963f69245287e8fbd4	175		PERF-10-performance-review.md
iyon-tui	c5ad2c1c24b1540ab012422a2c8fab4f84e2d402c3c498c0b2394cb787ce4847	126		PERF-11-generated-abi-reference.md
iyon-tui	0c246cd1d2be5c34dad5b91829d4c8c37cff5cdd5adb5b2e11a9acd7ea34fb39	4229	01b81aa4003b375c53fd22eb0fc4de592ac892e0,01c4e2fd6d94adf2e9157d1e6329c328eb37dfae,032f07cf2c90e12ef8ee18c3df1c63bcad532b91,060d9c688953a9f909e8a118761188fb35d251cc,1554235441be0e4efbf63c1768ea8cacf5ada85a,1559191bab6d05c53384d7bda394438de69b446b,2b5632c5534139d2ce347fb9afee4bde4978d3e6,34cbb9a40b4bd1bd767d134a7065e66c2432a676,4672d247ab6679e702855a06f9c661a97c903784,4c785b78a571cf1d3ee2ef93cf3ef515018dd6fd,5788ce2ad42a9695b71e4dc296343c99bdc81a92,5cb7772820147b3fbe0b2270ceb1dcf9b5e0846a,6c72dc34a0526fba7fa39f25406f96fe10255343,6d526b81eb2dcecb5eadbcb9e3a3486f00fff2c8,73cdf2a42fde9e4a54a7671819a24e09679d1f2b,7e22368aea143e3e0fed4a986998f1f5b8cdb464,8c17de1b4ba88f805c182a067274d707ab64c089,afe16bd4b03ee8d9266bc1f597956f60a3b944d7,c4c213220f946fc3098b124ac13531b5c5e7f4b5,c9f690c4fc9578d7ea0591425715e9df4263ebf0,e89e1fee78ec45e51ef96c6e2b796a64561081a6,eb3bb92a539e6bbdd0b55c4ab0c26b68b4d5400f,fe083782331bcbc475fe12ef70e554aca591dcfb	PERF-11v3-bun-1.4-zero-encode-native-view-handoff.md
iyon-tui	4f810646de95235671ca8c63e3c9a95fb5a83e2b2d56db9b1353125b0f5b1e50	74	e5292d62c4011610850cbdc1ba4a35f296f78e4f,e8533d61014eedc0d505fe1bbca8e1883746ce95	PERF-11v4-archaeology.md
iyon-tui	4a18f0144d0fc7b3803e710999059ab1cbb5968f5b129e51e7a1b219f2f18eaa	262	7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f	PERF-11v4-benchmark-report.md
iyon-tui	3592e2745830fb07e73bbf62f4050134815781a3f9968a9b39d1bfc6139be29f	2375	da0280c1cd5d1df9bf60742e133b4942591611fe,e5292d62c4011610850cbdc1ba4a35f296f78e4f	PERF-11v4-canidate-comparison.md
iyon-tui	aa7d1c4f002b4cbd4b5b1aef5fea25bbf896d849ebb55b73d0c52c8571b70d0d	2684	f665c9ef913a7a8eda552a385b072f25f853b359	PERF-12-T13.1-AMENDMENT-C-optimal-retained-dag-execution.md
iyon-tui	ce5383de0ceab8c98a7908bdd14d723c3c987c64bc4699d2c91749270b40ce94	123	34cbb9a40b4bd1bd767d134a7065e66c2432a676	PERF-12-T13.1-R10-report.md
iyon-tui	0181d1b58ee7d2865c484e77432a145bc4f1df7765577ac2a895d0309029a409	1600	34cbb9a40b4bd1bd767d134a7065e66c2432a676,4f4e57604f284b19981cc24f03dc842b39538478,9f1cf91fdb60d8b19fe8de00b440624da3b83c35,f665c9ef913a7a8eda552a385b072f25f853b359	PERF-12-T13.1-retained-view-composition-handoff.md
iyon-tui	9e9632c1d2f2ccee307a30a730769ee7590b33b14429a081e11a52001c8533e0	210	3d156a78e1577b4b2d491cf393b08956cf2aa7f5,7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f	PERF-12-baseline.md
iyon-tui	ea3528453abc9bdffeab89cb2989e399d0bbee5af15cfcdb810458399c0200c5	365		PERF-12-production-boundary-trace.md
iyon-tui	ecee124f7de60aec42c0be4eb521c37f7bd7e6b4a9e13b57eb3e1b215523ba6f	7276	15ae34c6f07ac0db8529e8c2ca3d0e83912c88e1,2da38138a0f0af249e890bfe588438f70229e279,3d156a78e1577b4b2d491cf393b08956cf2aa7f5,3f242259e56f13a713b440f9f605e5f99499a092,4073ca841bc67642b666dda33f5bf52c830cdc9e,67741eb588e70ffe8ce7b08805040d0a9cc65f8c,b224cc3fd0942062317d1c2d6dccd27322bd8525,b63a64c3be04701273ef4e79beb852aff56b0846,c43f8307e441cfa126997ab25461dfe16cd4b3c0,df37cecaf3695578aefa94d8ad294dd9ce8557cf,e5292d62c4011610850cbdc1ba4a35f296f78e4f,ecbe2215adf9468c3dd76a4321bda339eaa74515	PERF-12-retained-dag-direct-ffi-handoff.md
iyon-tui	2a6caddc59ba43b4ca1aa66e5506364a07510d0bcdb5c5c7d799769ea2dd7a42	298		PERF-13-scratchpad.md
iyon-tui	bbb6bb39782d9c41118e70076a5e741800667ff9eeeeee05e9311dad16cbeeae	4555	84a7d117c777fbd5c2f0d5d072e63769be842e7c,e5292d62c4011610850cbdc1ba4a35f296f78e4f	PERF-8-retained-packed-delta-handoff.md
iyon-tui	b879da45cbce81debdd8b48ae5024c4010809041b77929d6a38c3e9aabc63c32	5633	84a7d117c777fbd5c2f0d5d072e63769be842e7c,cfa9f8e15b4252a08c483711d835dfe56a8b21ab	PERF-9-utf8-arena-handoff.md
iyon-tui	f16fde5afe6867fa4328e2cd8429853cda7e8586bff7465686942fc27d7caf72	2822	a280d814105874fa415dac2ba0e7658471dae074	iyon_tui_perf7v2.md
iyon-tui	5201e5a269cb8b70beda3cfe621d5f5078f70d0ce485a935490fc5ee41df9f52	3594	079cb0a6a8f02229eb16d03b297b3a8984177c29,223bf4840a03c90d713f12419bba25a501ae217f,4067477dd89b554641753dcfbc5e506f61bdd52f,4bf55754905dfdcd6460867dca9ad45bfb9fae45,88c66f9073c425c049a1ac31c7fbb4b0e771a4d1,bb8568060d4f8882b4c069f764b74b2ff92993b0,eb8feb71096eec5c885b2a4c7d8d030d3622f265	iyon_tui_performance_refactor_handoff.md
iyon-tui	10ad00800408e65d365b4348718147681ac05b4493a55d9b0f61fe321dde31ed	3976		iyon_tui_performance_refactor_merge_review.md
iyon-tui	c7dd207a3afad54903a815227d244d75e3b1d9eb8d24b5caf118f872e27e139b	745	993b94a75a0570f12541d9feaa50ef5ebca7fa62	packages/iyon-runtime/bench/PERF-10-results.jsonl
iyon-tui	16d58a1d36b0b26a976ecaa458421bb6df5ec212f1e63067807b2fabc73e778c	651	060d9c688953a9f909e8a118761188fb35d251cc,34cbb9a40b4bd1bd767d134a7065e66c2432a676	packages/iyon-runtime/bench/PERF-11-bun14-results.jsonl
iyon-tui	625fbadd06a8077c94585e87f14e348467df3630317f98252f0b8d75eed7b4f2	33	34cbb9a40b4bd1bd767d134a7065e66c2432a676,c4c213220f946fc3098b124ac13531b5c5e7f4b5	packages/iyon-runtime/bench/PERF-11-ffi-probe.json
iyon-tui	346165610332c052f1b21c8873b90d9020be76e01ab02c95fd7040f65c9a60fc	47	34cbb9a40b4bd1bd767d134a7065e66c2432a676,4c785b78a571cf1d3ee2ef93cf3ef515018dd6fd	packages/iyon-runtime/bench/PERF-11.1-generated-vertical-slice.json
iyon-tui	0acccc03372a971aabbef046699e9afd6e936d54469ff792ecbc0dc2bd2fcb39	49685	34cbb9a40b4bd1bd767d134a7065e66c2432a676,8c17de1b4ba88f805c182a067274d707ab64c089	packages/iyon-runtime/bench/PERF-11.11-native-view-decision.json
iyon-tui	57922805f6e26a009055b8a4c0fb9cb3b01be14176cddfcdd827c2581b785785	39	34cbb9a40b4bd1bd767d134a7065e66c2432a676,c9f690c4fc9578d7ea0591425715e9df4263ebf0	packages/iyon-runtime/bench/PERF-11.3-generated-scalar.json
iyon-tui	a772bca495038f509bba4b2e27eac499357a9673c2b931e12397c44920b61954	26	34cbb9a40b4bd1bd767d134a7065e66c2432a676,73cdf2a42fde9e4a54a7671819a24e09679d1f2b	packages/iyon-runtime/bench/PERF-11.4-generated-path.json
iyon-tui	08d442fd68f4e8d0b3763885039b01dc7f5572b14701a9e9539ff9f28960a02a	28	34cbb9a40b4bd1bd767d134a7065e66c2432a676,5788ce2ad42a9695b71e4dc296343c99bdc81a92	packages/iyon-runtime/bench/PERF-11.5-native-construction.json
iyon-tui	7c3a75b8272b19d45c9acb88df5ff13d05126837a3749dd1eeb9cff84072f75d	28	34cbb9a40b4bd1bd767d134a7065e66c2432a676,7e22368aea143e3e0fed4a986998f1f5b8cdb464	packages/iyon-runtime/bench/PERF-11.6-native-transaction.json
iyon-tui	c18054fde68524f37b32072135b094cbf4836bfaf339ff405a4d8f779979c295	46	34cbb9a40b4bd1bd767d134a7065e66c2432a676,5cb7772820147b3fbe0b2270ceb1dcf9b5e0846a	packages/iyon-runtime/bench/PERF-11.7-native-persistent-seq.json
iyon-tui	6156e8389137bca34c0c120b65984cc047644dd2449ed0bb9b8341f2ed53aec6	38	34cbb9a40b4bd1bd767d134a7065e66c2432a676,6c72dc34a0526fba7fa39f25406f96fe10255343	packages/iyon-runtime/bench/PERF-11.8-native-builders.json
iyon-tui	ec05af6b4f97001ca17b46f75a2c31e5d9f260726e2747c62d5c95b4efff9b1a	38	1554235441be0e4efbf63c1768ea8cacf5ada85a,34cbb9a40b4bd1bd767d134a7065e66c2432a676	packages/iyon-runtime/bench/PERF-11.9-native-strings.json
iyon-tui	84d9477bd1a9ca7b7137604c3df8db77ca0b617ca5b8b147deba6a24def64b1f	705	7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-11v4-comparison-raw.jsonl
iyon-tui	71f13ce3edb1f82c3bae9c69969b9479227fc72c0ca1b5a416e5de4432d0e7ab	46605	7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-11v4-comparison.json
iyon-tui	8d5cc735013470062bd6006a60c2a52e1323b35735a2ba14941dde1929022fed	294	7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-11v4-route-diagnostics.json
iyon-tui	f2445f61a49e95e4a247ad64f9120c84ca6702d701d9748996b18f72be83143a	1	34cbb9a40b4bd1bd767d134a7065e66c2432a676,4e3276139c0f949efa5546cb75d0e435c8709d80	packages/iyon-runtime/bench/PERF-12-T13.1-R0-cold-fallthrough.jsonl
iyon-tui	fd69335077157b38d97e89dfd2d1d11f1f33090cc8466e8a6fe503f47654b683	33	7c670ccd99fb296b18719f62c1aa845a3e3605de,dd6ae3de09eaa8ae9560bde5e7049e940d43f5a2,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-12-T13.1-R10-composition-authoritative.jsonl
iyon-tui	6bfa4b3f388b68173eea40ac0e9cb2f415e1881715cbbdc66dd1dcb07562125e	15	5492290f0b0f638a70d0dfdc7f5440f5716d4e35	packages/iyon-runtime/bench/PERF-12-T13.1-R10-memory-soak.log
iyon-tui	5a2d66f0e2f2b807c998b6cc9399d8a0446d1abf103ae9b28c95b401fd6524db	3	34cbb9a40b4bd1bd767d134a7065e66c2432a676,4e3276139c0f949efa5546cb75d0e435c8709d80	packages/iyon-runtime/bench/PERF-12-T13.1-R3-projection-overhead.jsonl
iyon-tui	0145287c5ce156037b24eb4a48f6d84b08479153470b3124f2ae6d41a0daa061	3	34cbb9a40b4bd1bd767d134a7065e66c2432a676,4e3276139c0f949efa5546cb75d0e435c8709d80	packages/iyon-runtime/bench/PERF-12-T13.1-R6a-end-to-end-overhead.jsonl
iyon-tui	e43701e1956d472dbbba3615a5985dabd8d90bdf2ab4c29868e5e42164e1426d	25	7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f,f665c9ef913a7a8eda552a385b072f25f853b359	packages/iyon-runtime/bench/PERF-12-T13.1-composition-baseline.jsonl
iyon-tui	056f3dbb481310106a9964723fa400cedca704349dd35b839d506dc6e67741a3	12	df512adee207492f8db4da4603865f0b2704ce6b	packages/iyon-runtime/bench/PERF-12-churn.jsonl
iyon-tui	1985293b97df0073f5203fde62636f67a4e3931077915c1e161b6e8a8dbcea1d	10	741ac6ab7484a434521abc45c68ffba6c5183b78	packages/iyon-runtime/bench/PERF-12-construction-challenge.jsonl
iyon-tui	d7b533c117e120874aa45615440efc3c0f1a9b8e624b3e9562e2b7a656bfe703	14	3d156a78e1577b4b2d491cf393b08956cf2aa7f5,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-12-ffi-floor.jsonl
iyon-tui	171a5ab0206e41561482bf783a495104e9f9ad60397f7effea6552c9ae50b539	7	df512adee207492f8db4da4603865f0b2704ce6b	packages/iyon-runtime/bench/PERF-12-memory-attribution-t3.jsonl
iyon-tui	06076cc7aa9f152e10f511cdcafb12146049f785708ccb27ccb56f4518d54f94	7	3d156a78e1577b4b2d491cf393b08956cf2aa7f5	packages/iyon-runtime/bench/PERF-12-memory-attribution.jsonl
iyon-tui	e61a50865592d6a355ca075308fd2e03c1a814426c7c57a33203e4f52fd3393e	1		packages/iyon-runtime/bench/PERF-12-nativeref-table.jsonl
iyon-tui	70eca4d5c5d448f6fa2a3daab20d8c30da5251d3030bb4c15254e814b07fdc36	25	b36e49363fae1ab63272f2ae5a9e5f98a0cbd131	packages/iyon-runtime/bench/PERF-12-t10-wide-edits.jsonl
iyon-tui	77a7c5b580398d9f34e4b952e2792d4deeb65a20a9301e8bf477b687b0019488	12	29745c2130106764b7e7a8be200cd09cf85877c6	packages/iyon-runtime/bench/PERF-12-t11-strings.jsonl
iyon-tui	6f8ea3fb0125cd126900d75563e2356a517018f813bc2088f1e958d15da210c2	3	29745c2130106764b7e7a8be200cd09cf85877c6,7c670ccd99fb296b18719f62c1aa845a3e3605de,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-12-t12-transaction.jsonl
iyon-tui	1bac338cdf6ef7bba25fe463310a81441d099cf207123f99d2699e8c43c51a65	2	7c670ccd99fb296b18719f62c1aa845a3e3605de,8d34ad1a54ac9f085cd02c177b4ce64b5b56835e,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-12-t13-boundaries.jsonl
iyon-tui	fe38cd50a888f61949f6379c200e9285c3a9c8dbdff48e8df497ca20c9cc8320	5	ebad4f5ebf5a61ba187b8fbb4e81627cf88ab27a	packages/iyon-runtime/bench/PERF-12-t6-exact-identity.jsonl
iyon-tui	7426835b064bdeb6d65d564f7cb378136dd24798978c4c2dc6f952a0beae0322	3	50549dc81bfd760a2e6903d31bdf1936aa037249	packages/iyon-runtime/bench/PERF-12-t7-shared-path.jsonl
iyon-tui	d388db38cc08f899c979896b0cc256577534fdee62cb5a2347a57d39fc00d168	3	4bd4ffc6e178c19d420b39aeb2f19556e0c2a273	packages/iyon-runtime/bench/PERF-12-t9-text-metadata-patch.jsonl
iyon-tui	f83ec28edd1ab766dd2c7360461a1d6f7b24add5cdb922b6c7d9fff3488cf3b7	341	84a7d117c777fbd5c2f0d5d072e63769be842e7c,e5292d62c4011610850cbdc1ba4a35f296f78e4f	packages/iyon-runtime/bench/PERF-7v2-results.jsonl
iyon-tui	20d5da808137b294bd498d2bd6f096f6d95f584020714a76b99603da2d2aaedc	1124	f1b6fc7000a61b027ffd1121657f091c8efb114a	packages/iyon-runtime/bench/PERF-9-results.jsonl
